LSOA21CD,Higher_manager_administrative_professional,Lower_supervisory&technical_occupations,Semi-routine_occupations,Routine_occupations,NeverWorked&Long-term_unemployed,Full-time_students,Lower_manager_administrative_professional,Intermediate_occupations,Small_employers&ownaccount_workers
E01005753,5.4913,6.0694,16.3295,21.8208,12.9335,6.9364,12.5,10.6936,7.2254
E01005754,4.0338,5.7905,17.9571,25.0488,19.0631,3.9037,8.3279,9.434,6.4411
E01005755,3.811,7.9268,16.3872,21.9512,16.3872,5.7165,10.2896,10.1372,7.3933
E01005756,9.206,5.6962,13.9816,14.4994,17.5489,5.351,14.4994,12.7733,6.4442
E01005757,6.4163,6.4945,14.867,16.1972,7.6682,4.3036,19.9531,13.5368,10.5634
E01005759,11.3293,5.9668,13.2175,12.0091,6.6465,4.0785,23.6405,14.5015,8.6103
E01005760,9.073,4.9967,13.8067,15.0559,9.9277,5.7199,19.1979,13.5437,8.6785
E01005761,11.0698,6.7907,10.8837,14.8837,10.3256,7.4419,17.3953,10.4186,10.7907
E01005762,8.3221,6.7785,13.3557,17.5168,14.094,5.1678,17.2483,11.5436,5.9732
E01005763,7.6982,5.6402,15.7774,17.2256,10.8994,7.4695,14.5579,13.7195,7.0122
E01005764,10.9256,5.7663,12.2914,13.5053,9.4841,4.2489,21.9272,14.5675,7.2838
E01005765,15.1786,5.7143,10,10.5357,6.25,3.8393,24.375,15,9.1071
E01005766,7.7034,6.1195,12.455,15.7667,14.2549,6.2635,17.5666,10.7271,9.1433
E01005767,20.7048,2.6432,8.7372,4.5521,9.6916,5.58,24.743,11.2335,12.1145
E01005768,25.2022,2.2402,6.0361,4.0448,7.094,6.4717,26.6957,10.8899,11.3255
E01005769,20.8272,3.8405,9.675,4.9483,6.0561,4.2836,28.8774,11.8907,9.6012
E01005770,20.3925,4.1809,7.2526,5.9727,6.8259,4.6075,26.6212,13.9932,10.1536
E01005771,18.9003,3.6082,8.3333,6.701,5.9278,7.0447,27.6632,12.1993,9.622
E01005772,21.234,3.4455,7.0513,4.8878,8.3333,8.0929,24.2788,10.8173,11.859
E01005773,24.1515,3.3149,7.2612,4.8145,8.8398,4.341,23.4412,11.7601,12.0758
E01005774,11.041,3.7855,13.8013,11.5142,13.4858,5.5205,20.1104,11.1199,9.6215
E01005775,23.6405,3.0967,5.6647,4.7583,7.5529,6.571,27.4169,12.3112,8.9879
E01005776,27.1723,2.1355,6.2592,3.6819,8.3947,8.4683,22.1649,9.2784,12.4448
E01005777,13.4021,6.9786,9.9128,9.199,9.7542,4.5202,22.2046,14.6709,9.3577
E01005778,14.3594,5.1591,11.4359,7.5666,4.9011,4.1273,25.6234,15.9931,10.834
E01005779,13.2302,4.8969,9.5361,8.5052,6.6151,5.3265,24.7423,18.0412,9.1065
E01005780,13.2759,5.431,8.1897,10.3448,6.3793,7.5,21.6379,16.4655,10.7759
E01005781,9.6465,4.7128,14.5066,15.243,12.9602,5.0074,16.7158,12.0029,9.2047
E01005782,19.9443,3.0612,9.7403,6.7718,5.8442,3.6178,25.2319,16.0482,9.7403
E01005783,18.4639,5.4306,8.5337,6.827,8.6889,3.879,26.5322,12.8782,8.7665
E01005784,24.9348,1.8245,6.7767,3.649,6.1685,6.7767,25.4561,12.6846,11.7289
E01005785,18.972,3.5525,8.5412,6.2736,5.3666,8.39,26.7574,12.9252,9.2215
E01005786,22.8892,3.7599,7.9815,5.0132,4.3536,6.9261,27.5726,11.4116,10.0923
E01005787,24.0637,2.6217,6.1798,3.9326,4.4944,4.8689,29.9625,13.764,10.1124
E01005788,23.8211,3.7398,7.8862,4.3089,5.4472,4.7967,27.3171,12.0325,10.6504
E01005789,25.9232,2.5111,6.8685,4.062,3.6928,5.0222,28.5081,13.0724,10.3397
