MSOA21CD,JobAccess
E02000545,1069382.8
E02000546,994638.759
E02000547,1129663.584
E02000548,1283817.429
E02000549,1098026.837
E02000550,1092923.07
E02000551,1035381.179
E02000552,1274621.924
E02000553,1136581.644
E02000554,1462107.548
E02000555,1468977.234
E02000556,1460985.975
E02000557,1573751.349
E02000558,1540496.284
E02000559,1615337.984
E02000560,1564182.754
E02000561,1496325.957
E02000562,1453984.234
E02000563,1556736.725
E02000564,1714022.011
E02000565,1509703.337
E02000566,1705736.49
E02000567,1555697.917
E02000568,1700717.379
E02000569,1645089.386
E02000570,1747696.44
E02000571,1779229.818
E02000572,1905397.731
E02000573,1809454.059
E02000574,1973025.052
E02000575,2052474.448
E02000576,2061729.039
E02000577,1476938.52
E02000578,1424739.241
E02000579,1478166.361
E02000580,1477802.131
E02000581,1561305.47
E02000582,1739493.269
E02000583,1581101.657
E02000584,1691891.98
E02000585,1647012.563
E02000586,1752015.954
E02000587,1685312.886
E02000588,1864317.221
E02000589,1773850.262
E02000590,1806714.608
E02000591,1691768.166
E02000592,1804384.21
E02000593,1707760.352
E02000594,1758254.794
E02000595,1591928.501
E02000596,1593235.844
E02000597,1562535.743
E02000598,1025991.76
E02000599,1042016.492
E02000600,936175.0634
E02000601,1125805.56
E02000602,1047512.612
E02000603,877165.321
E02000604,1088226.745
E02000605,901373.2223
E02000606,1116462.233
E02000607,914628.376
E02000608,1193961.754
E02000609,968944.4376
E02000610,1058064.293
E02000611,890822.0845
E02000612,1011775.545
E02000613,967864.9685
E02000614,1028542.087
E02000615,1056215.305
E02000616,898047.845
E02000617,1143592.496
E02000619,1821810.122
E02000620,2026312.259
E02000621,1795365.378
E02000622,1868790.935
E02000623,1824347.261
E02000624,1603814.095
E02000625,1791539.35
E02000626,1518305.861
E02000627,1753646.143
E02000628,1610578.613
E02000629,1616345.784
E02000630,1565329.949
E02000631,1354000.319
E02000632,1567398.463
E02000633,1546797.535
E02000634,1540529.204
E02000635,1483365.343
E02000636,1470388.129
E02000637,1439260.249
E02000638,1420362.271
E02000639,1379507.15
E02000640,1380415.752
E02000641,1340878.147
E02000642,1289525.759
E02000643,1264457.359
E02000644,1194047.732
E02000645,1260950.236
E02000646,1289750.162
E02000647,969394.2055
E02000648,988563.2462
E02000649,1241678.402
E02000650,1122070.369
E02000651,1182973.474
E02000652,1106302.81
E02000653,1385676.238
E02000654,1331735.193
E02000655,1369096.519
E02000657,1375008.511
E02000658,1344136.507
E02000659,1324402.567
E02000660,1340858.502
E02000661,1245294.947
E02000662,1295377.923
E02000663,1239436.363
E02000665,1159392.027
E02000666,1188017.383
E02000667,1142043.96
E02000668,1152018.25
E02000669,1152368.306
E02000670,1018924.455
E02000671,1191737.645
E02000672,1170138.536
E02000673,1159293.96
E02000674,776376.0488
E02000675,931827.6614
E02000676,1043388.753
E02000677,844409.7563
E02000678,854528.0867
E02000679,1053242.823
E02000680,1104805.579
E02000681,855297.7347
E02000682,724984.0434
E02000683,855641.35
E02000685,1075823.329
E02000686,781656.0331
E02000687,1058355.167
E02000689,1211481.339
E02000690,1034509.639
E02000691,1198484.602
E02000692,1231203.99
E02000693,1257484.674
E02000694,1217956.399
E02000695,1084725.722
E02000696,1187229.186
E02000697,1303759.877
E02000698,1110458.769
E02000699,1149668.368
E02000700,1116720.506
E02000701,1063382.725
E02000702,997709.397
E02000703,1082548.523
E02000704,1088326.241
E02000705,906474.3701
E02000706,1033040.121
E02000707,766101.4858
