BUA22CD,ResPop65plus,ResPop75plus,ResPop85plus
E63002374,25.1,12.1,3.7
E63002386,25.2,12,3.1
E63002388,18.9,8.4,2.2
E63002395,16.5,7,1.9
E63002408,16.7,7.2,1.9
E63002413,23.3,11.7,3.3
E63002415,17.8,8.7,2.4
E63002425,25.9,12.1,3
E63002444,21.1,10.1,2.8
E63002445,23.7,12,3.3
E63002465,32.1,15.9,4.3
E63002466,19.4,8.4,1.6
E63002472,21,9.4,2.8
E63002477,18.6,8.4,2.1
E63002492,18.4,8.2,1.9
E63002496,25.3,11.4,3.3
E63002505,16.6,7.2,1.8
E63002507,17.8,8.6,2.7
E63002509,20.1,9.4,2.9
E63002511,22.6,9.3,2.3
E63002516,20.9,10.6,3.3
E63002522,24.4,12.1,3.3
E63002524,21.9,10,2.9
E63002526,25,12.1,2.3
E63002527,26.8,14.1,4.1
E63002532,21.4,10.5,2.7
E63002534,28.4,14.1,3.8
E63002537,32.9,17.6,5.6
E63002550,19.1,9,2.1
E63002551,20.1,9.9,2.5
E63002557,22.6,11.3,3.3
E63002565,25,11.5,2.9
E63002573,24.5,11.3,2.3
E63002574,15.7,7,1.8
E63002594,11.4,4.6,0.9
E63002597,23.8,12.1,3.4
E63002598,19.5,9.6,2.4
E63002610,21.3,12.2,3.8
E63002621,26.7,12.7,3.2
E63002622,12.6,5.4,1.6
E63002628,24.2,12.7,3.2
E63002636,29.8,16.6,5.6
E63002637,22.4,11,3.1
E63002638,25,13.5,3.7
E63002639,19.4,10.3,3.3
E63002642,18.4,8.3,2.1
E63002644,18.8,8.1,2
E63002651,24.4,12.3,3.7
E63002656,26.4,11,2.7
E63002666,21,9,2.2
E63002669,21.4,10.7,3.2
E63002672,15.5,7.2,2.1
E63002675,20.5,10.2,2.9
E63002681,27.5,15,4.7
E63002683,24.3,12.2,3.7
E63002684,19.7,10,3.4
E63002688,19.3,8.7,2.3
E63002696,23.2,8.7,2.3
E63002699,17.9,8,2
E63002710,18.8,8.4,2.2
E63002711,22.3,11.4,3.5
E63002713,16.9,8.1,2.5
E63002720,13.3,6,1.8
E63002731,26.2,14.5,4.2
E63002733,21.3,10.2,2.7
E63002734,14,6.6,2
E63002740,20.3,9.4,2.8
E63002748,24.7,12.2,3.3
E63002750,21,9.2,2.2
E63002751,20.6,10.2,2.8
E63002753,23.8,11.2,3.1
E63002757,11.7,5.1,1.3
E63002760,23.2,11.7,3.6
E63002772,13.7,6.1,1.6
E63002778,18.9,10.8,3.5
E63002780,23.5,10.5,2.4
E63002782,16.9,7.6,2.2
E63002787,23.4,11.7,3.3
E63002797,20.8,9.7,3.2
E63002801,20.4,9.3,2.6
E63002812,13.7,6.2,1.5
E63002814,28,13.9,3.7
E63002815,19.7,10.1,2.8
E63002821,26.1,13.5,3.8
E63002822,20.7,10.5,3.2
E63002823,18,6.9,1.8
E63002827,24.9,12.2,3.5
E63002828,15.4,7.3,2.1
E63002829,18.6,7.9,1.8
E63002830,23.5,12.2,3.4
E63002831,24.1,12.2,4
E63002833,18,8,2
E63002862,14.7,7,2.1
E63002864,28.1,14,4.3
E63002871,29.2,15.1,5.7
E63002876,13,5.5,1.4
E63002880,15.5,7.2,2
E63002882,23.3,11.8,3.4
E63002884,23.9,12.3,3.1
E63002887,15.6,7.4,1.8
E63002889,10.5,4.8,1.4
E63002901,22.9,11.6,3.5
E63002903,34.7,18.7,4.3
E63002904,12.6,5.8,1.7
E63002906,17.3,8.6,2.9
E63002907,17.7,8.6,1.9
