OA21CD,MortgageDebt
E00000810,77752.48
E00000811,88290.6
E00000812,97873.16
E00000813,73192.74
E00000814,72272.9
E00000815,78800.55
E00000816,75524.52
E00000817,71898.72
E00000818,79054.85
E00000819,95734.02
E00000820,88081.05
E00000821,83418.8
E00000822,85012.02
E00000823,84724.07
E00000824,86508.38
E00000825,88378.83
E00000826,87097.98
E00000827,79961.8
E00000828,85673.36
E00000829,88210.49
E00000830,61984.42
E00000831,73500.84
E00000832,87927.92
E00000833,92221.39
E00000834,91597.11
E00000835,86310.24
E00000836,93488.91
E00000837,86645.92
E00000838,98099.48
E00000839,86508.38
E00000840,75086.26
E00000841,85035.57
E00000842,72378.24
E00000843,69945.93
E00000844,89549.31
E00000845,89917.31
E00000846,86770.06
E00000847,89878.3
E00000848,94206.64
E00000849,92431.96
E00000850,94435.21
E00000851,98493.63
E00000852,92811.09
E00000853,86438.02
E00000854,93388.82
E00000855,87759.72
E00000856,94765.45
E00000857,72294.7
E00000858,92357.54
E00000859,95646.99
E00000860,93296.22
E00000861,94288.59
E00000863,91851.47
E00000864,85426.59
E00000865,81455.15
E00000866,85768.49
E00000867,90644.96
E00000868,89293.73
E00000869,86701.76
E00000870,120111.85
E00000871,116659.46
E00000872,78420.39
E00000873,144433.93
E00000874,119729.44
E00000875,145241.64
E00000876,150265.28
E00000877,121281.94
E00000878,63076.83
E00000880,64288.43
E00000881,67185.49
E00000882,61802.92
E00000883,80386.86
E00000884,56996.84
E00000885,74432.28
E00000886,51537.23
E00000887,56621
E00000888,65190.14
E00000889,52508.34
E00000890,48048.68
E00000891,62896.2
E00000892,59617.68
E00000893,60698.84
E00000894,134990.94
E00000895,131843.03
E00000896,51376.32
E00000897,150566.81
E00000898,119782.39
E00000899,123916.8
E00000900,141838.3
E00000901,59675.37
E00000902,82427.29
E00000903,105435.7
E00000904,144092
E00000905,115341.97
E00000906,136316.74
E00000907,128911.61
E00000908,147967.74
E00000909,114185.54
E00000910,118803.61
E00000911,69351.73
E00000912,62017.73
E00000913,120367.98
E00000914,152757.6
E00000915,113403.45
E00000916,69103.66
E00000917,148550.3
E00000918,68880.46
E00000919,117183.56
E00000920,101067.51
E00000921,144250.52
E00000922,91557.82
E00000923,84315.89
E00000924,94945.46
E00000925,91651.73
E00000926,95140.3
E00000927,90985.17
E00000928,92266.46
E00000929,90778.85
E00000930,93866
E00000931,93582.19
E00000932,91067.96
E00000934,91613.22
E00000935,92319.39
E00000936,74126.05
E00000937,85251.91
E00000938,94945.46
E00000939,74175
E00000940,94404.97
E00000941,87498.76
E00000943,57927.12
E00000944,85637.08
E00000945,90767.69
E00000947,65988.63
E00000948,82835.51
E00000949,90329.43
E00000950,79080.22
E00000951,91382.05
E00000952,72168.25
E00000953,77861.13
E00000954,74444.05
E00000955,76456.94
E00000956,80879.42
E00000958,51512.23
E00000959,79312
E00000960,65062.6
