BUA22CD,BUSA22NM,ResPop65plus,ResPop75plus,ResPop85plus
E63001418,Lymm,22,11.2,3
E63001421,Bowdon,25.4,13.1,4.1
E63001422,West Kirby,28,13.6,4.3
E63001423,Hazel Grove,24,12.3,3.6
E63001424,Sheffield,16.1,7.6,2.2
E63001425,Widnes,18.3,7.9,2
E63001426,Dinnington (Rotherham),17.5,8,2
E63001429,Cheadle Hulme,21.8,10.8,3.3
E63001432,New Mills,20.2,8.6,1.9
E63001434,Swallownest and Aston,21.2,9.5,2.3
E63001435,Bramhall,27,14.5,4.5
E63001437,Mablethorpe,38.1,17,3.8
E63001438,North Anston,24.3,10.9,2.3
E63001439,Carlton in Lindrick,27.8,12.2,3
E63001440,Hale (Trafford),20.3,10.2,3.1
E63001460,Poynton,30.4,15.1,4.2
E63001464,Bebington,22.8,10.7,2.9
E63001466,Kiveton Park,19,8.6,1.9
E63001468,Heswall,30.7,15.4,4.8
E63001481,Runcorn,18.3,6.7,1.6
E63001487,Retford,22.4,10.7,3.2
E63001489,Wilmslow,20.3,9.4,2.8
E63001496,Killamarsh,21.9,8.9,2.1
E63001497,Chapel-en-le-Frith,23.6,10.9,2.7
E63001498,Sutton on Sea and Trusthorpe,49.6,23.6,5.7
E63001506,Worksop,19.6,9.1,2.4
E63001513,Eckington (North East Derbyshire),22.5,10.4,2.9
E63001517,Dronfield,29.2,15.1,3.9
E63001518,Knutsford,24.6,13.2,3.9
E63001524,Neston (Cheshire West and Chester),29.3,13.9,3.6
E63001535,Frodsham,26.6,13.2,3.7
E63001536,Bollington,23.6,10.9,2.9
E63001554,Ellesmere Port,18.1,8.2,2.3
E63001559,Clowne,22.5,9.7,2.7
E63001568,Barnton,21.7,8.8,2.1
E63001574,Helsby,24.4,13.1,3.9
E63001583,Creswell,18.8,9.1,2.2
E63001588,Staveley (Chesterfield),19.4,8.5,2.1
E63001589,Weaverham,23.8,11.1,2.7
E63001591,Macclesfield,20.3,9.4,2.6
E63001592,Northwich,14.8,6.2,1.8
E63001596,Brimington,22.3,10.8,3
E63001599,Buxton (High Peak),22.5,10.8,3
E63001607,Hartford,23.3,10.9,2.8
E63001616,Chesterfield,22.1,10.2,2.8
E63001618,Cuddington (Cheshire West and Chester),26.2,12.5,3.7
E63001622,Davenham,20.1,8.9,2.3
E63001629,Bolsover,21.7,9.8,2.5
E63001641,Washingborough and Heighington,28.7,14.3,3.8
E63001642,Horncastle,27,13.9,3.8
E63001650,Lincoln,14.4,6.6,2
E63001662,New Ollerton and Ollerton,19.2,8.3,2.1
E63001663,Market Warsop,20.6,9.1,2.1
E63001665,Bracebridge Heath,19.2,9.9,3.1
E63001666,Shirebrook,16.1,7.8,1.9
E63001667,Wingerworth,30.3,14.4,3.3
E63001669,Holmes Chapel,27.4,14,3.9
E63001677,North Hykeham,22.3,11.5,3
E63001681,Edwinstowe,26.8,13.1,3.7
E63001685,Winsford,16.7,7.5,1.7
E63001686,North Wingfield and Holmewood,20.3,9.2,2.2
E63001688,Middlewich,19.6,8.6,2.2
E63001702,Waddington (North Kesteven),18.9,9.3,2.3
E63001708,Mansfield Woodhouse,20.6,9.3,2.1
E63001711,Clay Cross,20.9,10,2.7
E63001715,Congleton,23,10.7,3
E63001717,Skegness,26.1,11.7,2.9
E63001723,Forest Town,17.7,8,2.1
E63001735,Elworth,16.4,7.7,2.3
E63001738,Sandbach,25.3,12.5,3.2
E63001739,Matlock,26.2,12.2,3.6
E63001740,Mansfield,18.5,8.5,2.5
E63001754,Sutton in Ashfield,20,9.7,2.6
E63001757,Huthwaite,16.9,6.9,1.1
E63001760,Rainworth,19.2,8.8,2.3
E63001779,Coningsby and Tattershall,16.9,8.2,2.3
E63001780,Biddulph,25.4,12,3
E63001792,Leek,23.6,11.1,3.6
E63001795,Kirkby-in-Ashfield,17.8,7.8,2
E63001796,Haslington,25.1,11.9,3.3
E63001797,South Normanton and Pinxton,18.9,8.5,2.1
E63001801,Alfreton,19.7,8.9,2.6
E63001803,Alsager,26.8,14,4
E63001804,Crewe,16.2,7.4,2
E63001808,Ravenshead,30.8,15.3,4
E63001813,Kidsgrove,22.8,10.2,2.4
E63001825,Newark-on-Trent,18.2,7.9,2.2
E63001828,Annesley Woodhouse,25.3,11.8,2.6
E63001829,Southwell (Newark and Sherwood),30,15.5,4.6
E63001830,Somercotes and Swanwick,21.5,9.2,2.1
E63001832,Selston,24.6,11.3,2.9
E63001845,Nantwich,24.5,12.7,4.3
E63001853,Balderton,21.4,10.6,2.9
E63001862,Ruskington,28.8,14.8,3.6
E63001880,Calverton,23.2,10.6,2.8
E63001882,Ripley (Amber Valley),23.5,10.6,2.6
E63001889,Hucknall,18.2,8.8,2.2
E63001899,Belper,22.3,9.9,2.6
E63001901,Werrington,29.5,14.4,3.8
E63001908,Newcastle-under-Lyme,20.5,10,3
E63001910,Eastwood,24.7,11.8,2.9
E63001911,Heanor,18.9,8.2,1.9
E63001915,Ashbourne,23.2,11.4,3.7
E63001918,Sleaford,20.3,9.6,2.6
E63001927,Arnold,21.3,10,2.8
E63001951,Nuthall and Watnall,23.5,10.9,3
E63001952,Boston,17.5,8.5,2.6
E63001958,Stoke-on-Trent,17.1,7.7,2
E63001966,Cheadle (Staffordshire Moorlands),25.5,11.7,2.5
E63001974,Sheringham,40.2,21.2,6.5
E63001982,Carlton (Gedling),19.9,9.2,2.7
E63001986,Whitchurch (Shropshire),23.9,11.6,3.7
E63001987,West Hallam,28.4,13.3,4
E63001992,Nottingham,11.4,5.1,1.4
E63001993,Cromer,36.7,18.1,5.8
E63001995,Blythe Bridge and Forsbrook,28,13.6,3.4
E63001997,Ilkeston,18.2,8.3,2.2
E63002010,Bingham,21.4,10.6,2.8
E63002020,Radcliffe on Trent,31.5,16.9,6
E63002027,Kirton (Boston),19.2,9.2,3
E63002042,Stapleford,18.8,8.8,2.2
E63002051,West Bridgford,17.4,8.2,2.9
E63002057,Beeston (Broxtowe),20.9,10.3,3.2
E63002062,Sandiacre,21.5,10.7,3.3
E63002069,Grantham,19,8.6,2.4
E63002077,Cotgrave,18.2,8.5,2.2
E63002078,Derby,16,7.5,2.2
E63002082,Borrowash,24.4,12.4,3.7
E63002087,Market Drayton,24.6,12.5,3
E63002092,Clifton (Nottingham),16.6,8,3.4
E63002098,Breaston and Draycott,27.3,12.9,3.3
E63002100,Uttoxeter,19,9,2.7
E63002109,Stone (Stafford),23,11,3.1
E63002111,Ruddington,20.5,10,3.2
E63002115,Long Eaton,18.9,8.7,2.2
E63002136,Keyworth,31.4,17.2,5
E63002146,Hilton (South Derbyshire),11,4.3,0.9
E63002149,North Walsham,29.4,15.3,4.9
E63002152,Fakenham,29.5,15,5
E63002164,Oswestry,22.7,11.5,3.4
E63002167,Wem,26.7,13.5,4
E63002183,Castle Donington,20.6,9.3,2
E63002198,Aylsham,30.8,15.1,4.7
E63002206,East Leake,20.5,10,2.6
E63002222,Holbeach,25.9,13.4,4.2
E63002255,Long Sutton (South Holland),34.2,18.7,5.2
E63002256,Burton upon Trent,15.3,6.8,1.9
E63002259,Stafford,19.4,9.5,2.6
E63002275,Spalding,19.5,9.8,2.9
E63002284,King's Lynn,18,8.7,2.6
E63002295,Bourne,21.9,11,3.4
E63002300,Swadlincote,18.6,7.8,1.8
E63002304,Melton Mowbray,21.9,10.3,2.8
E63002315,Woodville,12.4,4.8,1
E63002317,Loughborough,14.5,6.6,1.9
E63002320,Newport (Telford and Wrekin),23.6,11.2,2.9
E63002323,Shepshed,21.9,10,2.7
E63002336,Rugeley,20.2,9.5,2.5
E63002351,Hemsby,36.7,16.5,4.1
E63002357,Barrow upon Soar,21.8,9.5,2.2
E63002366,Ashby-de-la-Zouch,21.1,9.5,2.7
E63002374,Quorndon,25.1,12.1,3.7
E63002386,Whitwick,25.2,12,3.1
E63002388,Overseal and Castle Gresley,18.9,8.4,2.2
E63002395,Sileby,16.5,7,1.9
