TwCty11CD,Age65plus,Age75plus,Age85plus,MeanAge,MedianAge
E34002446,0.255421057,0.136898023,0.044761822,45,46
E34002470,0.145223464,0.071424581,0.021117318,38.5,39
E34002474,0.217591772,0.117042029,0.038038659,42.2,42
E34002475,0.205945629,0.098963427,0.028945824,42.1,43
E34002505,0.300269236,0.152472722,0.045203344,48.4,52
E34002511,0.16606589,0.080224663,0.024561992,40.1,41
E34002512,0.21838742,0.102656222,0.02774015,43.8,46
E34002528,0.181874325,0.093253049,0.029952138,41.5,43
E34002529,0.259068312,0.126680169,0.0379304,45.4,47
E34002540,0.101937795,0.042664061,0.011398795,36.5,36
E34002554,0.172804061,0.072774934,0.019514834,40.1,41
E34002562,0.18034188,0.099671269,0.035502959,41.1,42
E34002605,0.224698658,0.114851035,0.033735122,43.2,44
E34002608,0.157053637,0.062454078,0.016164585,40,42
E34002609,0.147906471,0.070811431,0.021509274,38.7,39
E34002624,0.196235409,0.098881623,0.032817943,41.1,41
E34002637,0.325308057,0.164265403,0.051374408,49,53
E34002653,0.199749642,0.093526466,0.032635908,42.3,44
E34002678,0.249244713,0.128566633,0.049345418,45.5,46
E34002686,0.272088353,0.131191432,0.044344043,47.3,51
E34002689,0.170736404,0.079918348,0.017986443,40.1,42
E34002694,0.206246037,0.092105263,0.023145212,41.9,43
E34002712,0.330627871,0.156355283,0.039356815,49,53
E34002717,0.174873221,0.067724522,0.017503681,40.3,41
E34002727,0.121418338,0.056948424,0.01737106,37.9,38
E34002729,0.12070747,0.054883608,0.017139731,38.7,39
E34002730,0.179134955,0.077222944,0.022090217,41.3,43
E34002733,0.190437084,0.085378836,0.024181038,41.4,42
E34002746,0.184041934,0.087070472,0.019947583,41.8,43
E34002766,0.203690198,0.089191949,0.022462077,42.5,44
E34002796,0.133638544,0.054937868,0.014824504,37.9,38
E34002801,0.176257753,0.072794624,0.017229497,40.5,42
E34002816,0.206914919,0.102755315,0.033557697,41.4,41
E34002820,0.181036045,0.088196333,0.027734784,40.6,41
E34002826,0.182072394,0.093211123,0.027031226,40.5,42
E34002854,0.190016482,0.085001177,0.026136096,41.4,42
E34002872,0.20584185,0.105022831,0.029499166,41.7,43
E34002877,0.185669317,0.093741664,0.030251294,40.7,40
E34002878,0.209457411,0.102606851,0.032585632,43,45
E34002906,0.197050226,0.095136859,0.030826468,41.5,42
E34002917,0.237724551,0.121257485,0.033832335,43.5,45
E34002927,0.19392379,0.101750772,0.029248198,41.2,42
E34002963,0.028558971,0.011336385,0.002725093,26.5,25
E34002971,0.174681754,0.085572843,0.019448373,40.2,40
E34002993,0.18389662,0.084402675,0.022049521,41.1,42
E34003008,0.285904255,0.144614362,0.046542553,47.7,51
E34003021,0.258183944,0.127045986,0.035268901,45.5,48
E34003024,0.215414326,0.101299157,0.029494382,43.3,45
E34003029,0.231506937,0.123841187,0.03823285,43.5,44
E34003071,0.17656547,0.084279048,0.022351518,40.6,41
E34003078,0.181576365,0.082481195,0.023699989,40.9,42
E34003082,0.23234741,0.108052659,0.026842195,44.4,46
E34003098,0.191040843,0.092621871,0.025296443,42.2,43
E34003102,0.186638182,0.085841911,0.023888134,40.7,41
