LSOA11CD,IMD2019OverallScore,IMD2019IncomeScore,IMD2019EmploymentScore,IMD2019EducationScore,IMD2019HealthScore,IMD2019CrimeScore,IMD2019HousingServicesBarriersScore,IMD2019LivingEnvironmentScore,IMD2019IDACIScore,IMD2019IDAOPIScore,IMD2019ChildrenScore,IMD2019AdultScore,IMD2019GeographicalBarriersScore,IMD2019WiderBarriersScore,IMD2019IndoorsScore,IMD2019OutdoorsScore
E01005375,12.845,0.065,0.073,14.068,0.101,0.172,3.603,21.248,0.103,0.064,-0.477,0.326,-0.648,-3.187,0.219,0.191
E01005376,47.175,0.282,0.205,53.168,1.295,0.966,8.524,35.722,0.329,0.256,1.241,0.455,-0.99,-0.349,0.689,0.748
E01005377,64.915,0.396,0.266,88.762,1.542,1.157,11.708,21.551,0.487,0.375,1.631,0.653,-1.226,0.625,0.135,0.384
E01005378,35.716,0.205,0.135,38.68,0.498,1.354,6.228,46.166,0.322,0.144,0.678,0.431,-1.073,-0.967,1.14,0.541
E01005379,56.362,0.339,0.213,78.156,1.184,1.608,11.71,24.984,0.403,0.268,1.487,0.577,-1.311,0.653,0.045,0.881
E01005380,50.895,0.336,0.215,55.951,1.039,1.428,18.602,16.238,0.404,0.362,1.176,0.489,0.014,0.356,-0.492,0.633
E01005381,53.441,0.298,0.226,68.472,1.349,1.098,15.899,32.613,0.31,0.341,1.232,0.556,-0.417,0.769,0.627,0.577
E01005382,56.193,0.296,0.197,75.519,1.234,2.393,10.224,38.538,0.408,0.348,1.678,0.532,-1.097,0.176,0.78,0.801
E01005383,45.393,0.294,0.202,46.721,0.826,1.395,19.211,21.535,0.329,0.31,0.816,0.477,0.086,0.274,0.254,0.154
E01005386,64.436,0.358,0.285,69.919,1.275,1.96,22.413,22.991,0.416,0.377,1.649,0.503,0.301,0.303,0.436,-0.064
E01005387,16.821,0.11,0.088,19.993,0.189,0.13,4.948,19.475,0.158,0.099,0.239,0.31,-0.58,-2.448,0.263,-0.114
E01005388,20.356,0.108,0.104,19.987,0.505,0.465,5.813,24.535,0.121,0.146,0.273,0.305,-0.974,-1.199,0.52,-0.09
E01005389,47.37,0.279,0.217,41.964,1.335,1.373,11.257,28.863,0.362,0.223,1.246,0.349,-0.601,-0.077,0.613,0.196
E01005390,15.46,0.068,0.077,12.602,0.283,0.832,5.788,18.256,0.078,0.067,-0.189,0.279,-0.38,-2.889,0.183,-0.098
E01005391,22.597,0.115,0.093,21.748,0.178,1.349,14.74,19.618,0.171,0.1,0.22,0.333,0.274,-2.07,0.228,-0.019
E01005392,41.804,0.232,0.193,37.046,1.287,1.513,9.498,20.9,0.251,0.296,0.655,0.42,-1.093,-0.013,0.203,0.178
E01005393,13.302,0.064,0.056,15.485,0.432,0.46,11.345,13.031,0.093,0.083,-0.114,0.307,0.112,-2.765,-0.098,-0.245
E01005394,15.163,0.07,0.074,7.388,0.147,0.98,12.552,17.691,0.111,0.057,-0.647,0.25,0.144,-2.256,0.217,-0.265
E01005395,15.778,0.074,0.081,12.181,0.407,0.008,11.794,30.997,0.124,0.071,-0.353,0.292,0.14,-2.719,0.807,-0.116
E01005396,21.19,0.112,0.098,26.122,0.299,0.686,21.062,11.648,0.194,0.073,0.597,0.321,0.706,-2.593,-0.257,-0.161
E01005397,21.883,0.1,0.107,19.372,0.599,0.676,5.477,30.769,0.094,0.114,0.001,0.337,-0.775,-1.619,0.608,0.417
E01005398,21.362,0.093,0.085,18.155,0.377,0.954,6.578,38.427,0.115,0.128,0.054,0.316,-0.399,-2.234,0.815,0.702
E01005399,15.819,0.074,0.09,18.044,0.219,0.023,5.408,27.928,0.128,0.074,-0.11,0.336,-0.448,-2.782,0.622,0.066
