OA21CD,GreenspaceTotal,GreenspacePublic
E00000771,0,0
E00000772,0,0
E00000773,0,0
E00000774,0,0
E00000775,0,0
E00000776,0,0
E00000777,0,0
E00000778,0,0
E00000779,0,0
E00000780,0,0
E00000781,0,0
E00000782,0,0
E00000783,0,0
E00000785,0,0
E00000786,0,0
E00000787,0,0
E00000788,0,0
E00000789,0,0
E00000790,0,0
E00000791,0,0
E00000792,0,0
E00000793,0,0
E00000794,16.0068,0
E00000795,0,0
E00000796,0,0
E00000797,0.0145,0
E00000798,0.6124,0
E00000799,0,0
E00000800,2.7225,0
E00000801,0,0
E00000802,36.8337,0
E00000803,0.3296,0
E00000804,0,0
E00000805,0.0166,0
E00000806,48.5158,26.666
E00000807,5.6576,5.5188
E00000808,42.0879,0.8973
E00000809,1.7913,1.7913
E00000810,0,0
E00000811,45.4742,37.3176
E00000812,58.0434,57.6353
E00000813,0,0
E00000814,0,0
E00000815,0,0
E00000816,6.0198,0
E00000817,9.0985,0
E00000818,0,0
E00000819,0,0
E00000820,0,0
E00000821,0,0
E00000822,0,0
E00000823,0,0
E00000824,5.6326,0
E00000825,33.0765,0
E00000826,0,0
E00000827,6.0203,0
E00000828,0,0
E00000829,0,0
E00000830,0,0
E00000831,0,0
E00000832,0.6455,0
E00000833,0,0
E00000834,0,0
E00000835,3.865,0
E00000836,0.4006,0.4006
E00000837,0,0
E00000838,0,0
E00000839,33.8338,15.2278
E00000840,0,0
E00000841,23.1678,0
E00000842,0,0
E00000843,0,0
E00000844,0.1914,0
E00000845,0,0
E00000846,0,0
E00000847,0,0
E00000848,0,0
E00000849,0,0
E00000850,16.4921,16.4921
E00000851,0,0
E00000852,0,0
E00000853,0,0
E00000854,0,0
E00000855,0,0
E00000856,58.6986,46.7665
E00000857,12.422,7.3379
E00000858,0,0
E00000859,0,0
E00000860,0.1209,0.1209
E00000861,72.4457,72.0109
E00000863,0,0
E00000864,5.2551,0
E00000865,0,0
E00000866,14.3916,0
E00000867,0,0
E00000868,2.5041,0
E00000869,32.241,0
E00000870,0,0
E00000871,5.5936,0
E00000872,82.3984,0
E00000873,0,0
E00000874,0,0
E00000875,0,0
E00000876,0,0
E00000877,55.0905,0
E00000878,81.996,0
E00000880,11.4761,0
E00000881,0,0
E00000882,7.8878,0
E00000883,76.931,0
E00000884,0.135,0
E00000885,28.0215,0
E00000886,0,0
E00000887,0,0
E00000888,0,0
E00000889,0.7805,0
E00000890,0,0
E00000891,0.3309,0
E00000892,0,0
E00000893,0,0
E00000894,0,0
E00000895,33.6324,0
E00000896,0,0
E00000897,0,0
E00000898,0,0
E00000899,0,0
E00000900,0,0
E00000901,4.4034,0
E00000902,0,0
E00000903,0,0
E00000904,0,0
E00000905,0,0
E00000906,0,0
E00000907,64.2806,0
E00000908,0,0
E00000909,0,0
E00000910,0,0
E00000911,0,0
E00000912,0,0
E00000913,1.6311,0
E00000914,0,0
E00000915,0,0
E00000916,0,0
E00000917,0,0
E00000918,0,0
E00000919,0,0
E00000920,5.9682,0
E00000921,0,0
E00000922,26.167,0
E00000923,0,0
E00000924,0,0
E00000925,51.051,51.051
E00000926,1.0558,1.0558
E00000927,0.2149,0
E00000928,2.0551,0
E00000929,0,0
E00000930,0,0
E00000931,0,0
E00000932,43.4034,43.4034
E00000934,0,0
E00000935,0,0
E00000936,0,0
E00000937,0,0
E00000938,0,0
E00000939,0,0
E00000940,1.1655,1.1655
E00000941,0.0484,0
E00000943,0,0
E00000944,0,0
E00000945,9.2664,0
E00000947,11.9273,11.9273
E00000948,0,0
E00000949,0,0
E00000950,0,0
E00000951,0,0
E00000952,0,0
E00000953,0,0
E00000954,24.6487,24.6487
E00000955,0.001,0
E00000956,0,0
E00000958,3.7978,0
E00000959,0.0988,0
E00000960,1.8671,0
E00000961,0,0
E00000962,0,0
E00000963,0,0
E00000964,0,0
E00000965,0,0
E00000966,0,0
E00000967,0,0
E00000968,14.9989,0
E00000969,3.9941,3.9941
E00000970,28.2686,28.2686
E00000971,0,0
E00000972,7.3222,0
E00000973,44.1964,26.5175
E00000974,0,0
E00000975,0,0
E00000976,0,0
E00000977,0,0
E00000978,0,0
E00000979,0,0
E00000980,0,0
E00000981,0,0
E00000982,0,0
E00000983,0,0
E00000984,15.5058,0
E00000985,4.5936,0.1349
E00000986,0,0
E00000987,18.5856,0
E00000988,0,0
E00000990,0,0
E00000991,0.0895,0.0895
E00000992,0,0
E00000993,19.423,19.423
E00000994,49.0009,49.0009
E00000995,0,0
E00000996,0.257,0.257
E00000997,2.1358,0
E00000998,5.7071,5.4162
E00000999,0,0
E00001000,0,0
E00001001,0.1963,0
E00001002,14.1341,14.1341
E00001003,0.2897,0
E00001004,46.3216,2.2114
E00001005,0,0
E00001006,0,0
E00001007,0,0
E00001008,27.7263,27.7263
E00001009,0,0
E00001010,0,0
E00001011,0,0
E00001012,62.4916,0
E00001013,0,0
E00001014,58.7418,58.7418
E00001015,42.3044,20.6792
E00001016,0,0
