MSOA21CD,GreenspaceTotal,GreenspacePublic,TreeCover,OutdoorAddresses
E02000490,15.1893,9.429,5.5379,94.378
E02000491,1.8895,0.123,5.5504,91.2887
E02000492,2.5955,1.3221,10.4365,97.7512
E02000493,4.9884,0,6.4087,91.2021
E02000494,6.3046,0,31.0695,89.1591
E02000495,24.1427,0,19.7191,83.6157
E02000496,4.897,2.5246,20.3153,87.2477
E02000497,4.8609,1.9817,27.8258,93.1079
E02000498,4.0518,0.9945,27.5215,94.1712
E02000499,5.1748,4.0329,14.1473,89.7452
E02000500,5.8236,0.855,25.6127,85.1453
E02000501,6.5052,4.1908,11.8158,94.067
E02000502,8.2033,0.1838,14.5244,86.0722
E02000503,11.3984,0.3506,8.1059,98.0345
E02000504,2.622,0,18.4538,93.0606
E02000506,18.5209,1.0201,25.3536,92.81
E02000507,7.752,0,15.2979,96.3423
E02000508,7.8394,0,18.5285,78.1263
E02000509,4.1794,1.5134,10.7027,75.6887
E02000510,11.5624,0,14.6177,91.5974
E02000511,10.1603,6.1025,14.7039,94.9807
E02000512,2.399,0.5624,10.5227,92.9984
E02000513,19.4019,18.7897,11.4854,79.7285
E02000514,15.113,13.7599,7.0685,91.3824
E02000515,2.833,0,16.2653,84.4285
E02000516,5.9321,0,14.3951,95.392
E02000517,26.1381,0,8.4028,92.8592
E02000518,16.4169,6.8275,11.2419,92.5197
E02000519,7.0843,5.0158,10.654,81.9709
E02000520,25.6882,15.2762,10.4056,82.5166
E02000521,15.0142,1.8684,7.5984,92.2642
E02000522,9.1252,0.8293,13.9169,80.2519
E02000523,8.6517,4.061,10.1868,78.1142
E02000524,5.7556,4.2329,9.6272,86.5425
E02000525,13.9749,12.4893,9.4198,79.6383
E02000526,4.3856,1.0793,11.0457,88.8251
E02000529,8.7708,0.2043,10.7145,79.9155
E02000530,23.2211,1.4502,9.1441,79.369
E02000531,19.5197,11.7808,15.2431,78.9532
E02000532,32.7399,0.0113,17.538,78.2587
E02000533,12.3297,0,13.9768,86.4803
E02000534,31.6598,20.4663,12.9163,88.5995
E02000535,0.8035,0,7.5546,91.3652
E02000536,17.4724,10.3962,10.0661,87.3358
E02000537,16.1245,5.5465,9.6275,86.6956
E02000538,14.7518,8.959,14.8816,92.3414
E02000539,6.1375,1.3552,12.1408,82.8333
E02000540,13.8781,4.5618,10.5975,78.0632
E02000541,4.4202,3.7345,6.7347,87.6958
E02000542,4.0132,0,7.743,76.3906
E02000543,0.5833,0,8.1083,70.3735
E02000544,2.8517,0,8.8836,97.5728
E02000545,6.9767,0.8847,13.2942,72.8533
E02000546,49.5486,32.987,12.6462,85.756
E02000547,7.6056,0,10.1963,89.7548
E02000548,15.0895,14.5615,9.5192,86.442
E02000549,5.569,4.3576,13.8096,86.9745
E02000550,3.4851,0,6.595,76.8574
E02000551,32.9199,26.2409,13.2649,76.8698
E02000552,11.5994,8.8369,12.2886,76.2815
E02000553,9.3917,0.0001,12.0482,85.961
E02000554,6.0746,4.8198,26.4218,80.5438
E02000555,1.5805,1.4021,21.9331,86.515
E02000556,3.2488,1.1924,14.8204,81.9647
E02000557,5.1688,3.7544,18.49,86.0313
E02000558,0.6113,0,16.961,68.0009
E02000559,2.634,2.3013,13.4193,91.0277
E02000560,4.1999,0,15.6779,76.0549
E02000561,6.6938,3.1696,20.2042,86.6559
E02000562,9.9397,8.9925,30.9413,81.7926
E02000563,1.0383,0,22.439,80.8076
E02000564,3.3919,2.9201,14.1666,62.5113
E02000565,2.7078,1.2404,25.838,77.3778
E02000566,10.9317,9.2095,21.2142,86.2494
E02000567,5.8543,5.6669,23.8193,88.4938
E02000568,7.7661,6.6115,13.2108,61.083
E02000569,2.4339,2.0729,23.6283,72.8034
E02000570,8.5394,7.4756,22.0718,88.3609
E02000571,0.8249,0,17.7348,78.4537
E02000572,3.9645,2.6627,19.2926,63.9409
E02000573,2.6404,2.2264,13.5043,65.467
E02000574,2.0469,0.6099,16.6397,65.4952
E02000575,3.5924,2.2141,12.7654,30.5552
E02000576,7.2249,0.7924,14.9103,19.8414
E02000577,22.8501,0,9.7913,61.0072
E02000578,6.6758,5.4624,9.54,83.986
E02000579,4.3015,0.0943,9.881,87.6207
E02000580,0.4285,0,6.991,86.5209
E02000581,8.1599,0,10.7768,73.9508
E02000582,5.7586,5.7096,18.8306,82.7374
E02000583,1.4785,0,15.7883,88.4504
E02000584,19.0201,18.6266,19.299,82.9652
E02000585,23.1269,22.2767,22.7413,92.9752
E02000586,0.3113,0,7.6206,82.3249
E02000587,1.7015,1.7015,10.4285,73.1974
E02000588,0.0134,0,9.6824,76.1873
E02000589,2.913,0.1673,12.5476,84.3483
E02000590,0.3348,0,11.3029,81.676
E02000591,0,0,13.4089,76.4588
E02000592,0.1037,0,16.9239,85.7363
E02000593,14.9956,0,22.2842,91.6392
E02000594,10.6552,8.857,18.4982,77.2279
E02000595,3.7344,1.9461,16.3358,86.4282
E02000596,16.0845,0.5896,18.56,83.3661
E02000597,4.1681,3.3986,17.1417,73.3819
E02000598,8.3325,0.1761,11.1473,95.2489
E02000599,27.3265,4.2059,29.1746,95.7668
E02000600,12.6049,0,16.0479,79.151
E02000601,5.8256,5.704,8.5225,81.8713
E02000602,16.1829,0.1011,8.4045,67.018
E02000603,14.4559,0,9.8715,87.5656
E02000604,23.41,5.1686,10.6656,85.6026
E02000605,17.2772,0,10.099,94.7138
E02000606,0.7587,0.2172,9.4248,71.4172
E02000607,5.7412,0,13.5379,95.337
E02000608,5.2918,0.7145,15.0377,78.2281
E02000609,5.6277,0.1097,14.6081,92.433
E02000610,0.2014,0,21.3985,77.9094
E02000611,9.2071,2.0376,16.4621,97.4539
E02000612,9.8659,1.0022,15.2244,90.1192
