LSOA21CD,TotPopChange_2001_17
E01001029,10.3026
E01001030,1.8665
E01001031,1.6842
E01001032,1.5829
E01001033,11.7111
E01001034,12.831
E01001035,32.0139
E01001036,5.7338
E01001037,3.1042
E01001038,34.1598
E01001039,-0.8784
E01001040,22.025
E01001041,13.4105
E01001042,51.0681
E01001044,11.2327
E01001046,7.8818
E01001047,21.4881
E01001049,6.9368
E01001050,0.4739
E01001051,1.3793
E01001052,-11.7021
E01001053,5.5855
E01001054,9.1193
E01001055,0.189
E01001056,12.4271
E01001057,11.2069
E01001058,-2.9104
E01001059,3.9886
E01001060,6.4702
E01001061,1.2864
E01001062,0.7666
E01001063,3.496
E01001064,7.7385
E01001065,7.2086
E01001066,-5.2597
E01001067,14.1611
E01001068,14.1498
E01001069,-3.7037
E01001070,14.1698
E01001071,12.3034
E01001072,2.9676
E01001073,3.0429
E01001074,42.2478
E01001075,15.8859
E01001076,16.5661
E01001077,-5.7599
E01001078,5.2957
E01001079,13.7632
E01001080,17.3234
E01001081,5.4264
E01001082,3.1491
E01001083,17.1089
E01001084,26.5469
E01001085,15.1379
E01001086,5.122
E01001087,90.3936
E01001088,11.3088
E01001089,27.2956
E01001090,55.3303
E01001091,6.3543
E01001092,27.673
E01001093,20.7697
E01001094,0
E01001095,6.4738
E01001096,-1.9768
E01001097,89.7603
E01001098,5.11
E01001099,11.4636
E01001100,4.463
E01001101,-3.4286
E01001102,13.0814
E01001103,9.0617
E01001104,-0.7117
E01001105,2.1441
E01001106,13.7676
E01001107,12.0506
E01001108,12.2257
E01001109,38.4953
E01001110,30.309
E01001111,14.5405
E01001112,35.5038
E01001113,20.9772
E01001114,5.4865
E01001115,10.8898
E01001116,-6.546
E01001118,29.2208
E01001119,-6.1549
E01001120,-6.5502
E01001121,-0.8791
E01001122,7.5328
E01001123,0.0657
E01001124,-5.4489
E01001125,3.8389
E01001126,0.2108
E01001127,-3.5714
E01001128,4.8005
E01001129,-5.0847
E01001130,17.5439
E01001131,2.2785
E01001132,-2.611
E01001133,1.043
E01001134,3.4826
E01001135,6.4677
E01001136,53.8569
E01001137,39.7315
E01001138,5.1195
E01001139,4.5714
E01001140,11.245
E01001141,-5.8866
E01001142,20.9073
E01001143,35.9151
E01001144,12.311
E01001145,40.849
E01001146,7.2037
