LSOA21CD,EntirehomesPer,BedspacePer
E01000394,0,0.241837969
E01000395,0,0.127713921
E01000396,0,0.206327373
E01000398,0,0.368550369
E01000399,0.305343511,1.11662531
E01000400,0.163398693,0.507292327
E01000401,0,0.109469075
E01000402,0,0.55487053
E01000403,0.17452007,1.286307054
E01000404,0.187793427,0.78157137
E01000405,0.310559006,1.822916667
E01000406,0,0.418215613
E01000407,0.128205128,1.224489796
E01000408,0.326797386,0.756253636
E01000409,0.15060241,0.501672241
E01000410,0.162074554,0.176366843
E01000411,0,0.065703022
E01000412,0.151515152,0.11554015
E01000413,0,0
E01000414,0,0.309119011
E01000415,0.191570881,0.346500347
E01000416,0.185185185,1.819363223
E01000417,0,1.046511628
E01000418,0.259403372,1.125319693
E01000419,0.163666121,0.664893617
E01000420,0.161812298,0.529450695
E01000421,0,0
E01000422,0.179533214,0.681431005
E01000423,0,1.285046729
E01000424,0.128700129,0.232153221
E01000425,0,0
E01000426,0,0.060642814
E01000427,0,0.202839757
E01000428,0.097087379,0.906666667
E01000429,0,0
E01000430,0.27739251,0.586223742
E01000431,0.67264574,1.803921569
E01000433,0.266666667,0.508388409
E01000434,0.163934426,0.49689441
E01000435,0.165016502,0.616438356
E01000436,0,0
E01000437,0,0.224047797
E01000438,0,0
E01000439,0.185528757,0.616016427
E01000440,0.19047619,0.442804428
E01000441,0,0.05608525
E01000442,0,0.117855038
E01000443,0,0.304645849
E01000444,0,0
E01000445,0,0.943396226
E01000446,0,0.398142004
E01000447,0.214592275,1.251303441
E01000448,0.190839695,0.149812734
E01000449,0,0.121728545
E01000450,0,0.503074343
E01000451,0,0
E01000452,0,0.424929178
E01000453,0,0
E01000454,0.153846154,0.241109102
E01000455,0,0.223713647
E01000456,0,0.291757841
E01000457,0.192122959,0.353200883
E01000458,0,0.064977258
E01000459,0.106496273,0.864864865
E01000460,0,2.280130293
E01000461,0,0.4784689
E01000462,0.22172949,0.432484383
E01000463,0,0.155400155
E01000464,0,0.199071002
E01000465,0,0.119331742
E01000466,0,0.40253019
E01000467,0.47318612,1.060070671
E01000468,0.907258065,3.400204012
E01000469,0,1.372212693
E01000470,0.16722408,1.124338624
E01000471,0,0.179104478
E01000472,0.210304942,0.989690722
E01000473,0.123304562,0.2567865
E01000474,0,0.043917435
E01000475,0,1.56176053
E01000476,0,0
E01000477,0.41322314,1.032315978
E01000478,0,0.156311059
E01000479,1.512287335,3.493699885
E01000480,0.186567164,1.81598063
E01000481,0.16,1.050679852
E01000483,0,0.333704116
E01000484,0,0.171624714
E01000485,0,0.316856781
E01000486,0.558659218,2.001177163
E01000487,0.136054422,1.843075303
E01000488,0.350262697,2.594193947
E01000489,0.694444444,7.083825266
E01000490,1.261829653,8.938869666
E01000491,1.067235859,5.590666018
E01000492,1.927194861,4.67141726
E01000493,1.02739726,6.165703276
E01000494,1.792573624,6.647887324
E01000495,1.292596945,9.631544926
E01000497,1.683029453,3.810902074
E01000498,0.182149362,0.118063754
E01000499,0.493421053,2.081109925
E01000501,0.251256281,1.883986118
E01000502,1.038575668,2.635825713
E01000503,1.122194514,4.110251451
E01000504,0.821917808,4.614518852
E01000505,0.848896435,2.645820806
E01000506,0.430416069,1.208459215
E01000507,0.557620818,3.777089783
E01000508,0.109649123,0.696324952
E01000509,0,0.20847811
E01000510,0.823723229,2.533992583
E01000511,0.847457627,1.446051168
E01000512,0.73313783,3.966844287
E01000513,0.415800416,1.419753086
E01000514,0,0.733822548
E01000515,0,0.269687163
E01000516,0.127713921,0.63463282
E01000517,0,0.689655172
E01000518,0.153609831,0.782881002
E01000519,0.302114804,0.931195034
E01000520,0.155279503,0.306748466
E01000521,0.099403579,2.13321724
E01000522,0,1.548137397
E01000523,0.416233091,2.797202797
E01000524,0.181323663,2.272727273
E01000525,0.358851675,1.719505642
E01000526,0,0.920386562
E01000527,0,1.055966209
E01000528,0.388098318,1.655824956
E01000530,1.575931232,10.15314804
E01000531,1.436464088,6.975414523
E01000532,0.307692308,4.851752022
E01000533,0.420609884,2.932030209
E01000534,0.431034483,3.705848292
E01000535,0.765027322,6.781326781
E01000536,0,0
E01000538,0,0.123076923
E01000539,0,0.060459492
E01000540,0,0.069060773
E01000541,0,0
E01000543,0.196850394,0.603136309
E01000544,1.41509434,7.616099071
E01000545,1.480750247,12.46056782
E01000546,1.312649165,7.759699625
E01000547,1.859229748,9.234507898
E01000548,0.989208633,5.495689655
E01000549,1.489361702,8.598351001
E01000550,0.505050505,4.479701353
E01000551,0.822368421,3.732950467
E01000552,0.280112045,2.949438202
E01000553,0.503144654,2.920792079
E01000554,0.124843945,1.16514691
E01000555,0.914076782,3.778337531
E01000556,0.908173562,3.463631865
E01000557,0.692840647,2.406417112
E01000558,1,4.613095238
E01000559,1.304347826,6.222222222
E01000560,0.564174894,6.196440343
E01000561,1.030927835,5.918141593
E01000562,0,0.204220558
E01000563,0,0.450160772
E01000564,0.197628458,0.363636364
E01000565,0.402414487,1.802962009
E01000566,0,0.841968912
E01000567,0,0.339904827
E01000568,0.732064422,2.117335686
E01000569,0,0.554400554
E01000570,0,0
E01000571,0.198019802,0.499168053
E01000572,0,0.271923861
E01000573,0,2.154921374
E01000574,0,0.24024024
E01000575,0.291120815,0.233754091
E01000576,0,0.489130435
E01000577,0.114025086,0.162074554
E01000578,1.349831271,4.663212435
E01000579,1.008645533,10.93038386
E01000580,2.021276596,10.86309524
E01000581,1.444622793,10.69444444
E01000582,0.138696255,5.097365407
E01000583,3.458799593,14.30769231
E01000584,1.023890785,6.024885396
