MSOA21CD,TotPopChange_2001_17
E02001045,1.369
E02001046,25.3982
E02001047,29.0054
E02001048,18.677
E02001049,8.4268
E02001050,34.0993
E02001051,7.7235
E02001052,39.6974
E02001053,22.3174
E02001055,11.3794
E02001056,3.867
E02001059,49.0343
E02001061,16.8472
E02001062,21.4124
E02001063,89.6652
E02001064,26.5024
E02001065,19.1349
E02001066,50.3464
E02001067,52.7675
E02001068,41.0202
E02001069,45.7103
E02001070,34.107
E02001072,31.4911
E02001073,2.106
E02001074,18.2283
E02001075,27.5379
E02001076,22.6583
E02001077,-1.3682
E02001078,10.2154
E02001079,13.289
E02001080,31.2092
E02001081,10.9739
E02001082,14.4633
E02001083,32.4036
E02001084,8.3972
E02001085,10.6092
E02001086,13.6808
E02001087,5.3228
E02001088,16.1807
E02001089,3.2787
E02001090,1.9532
E02001091,11.4533
E02001092,12.1839
E02001093,23.8038
E02001094,22.1494
E02001095,5.9087
E02001096,0.7575
E02001097,2.0344
E02001098,-7.5321
E02001099,-4.2187
E02001100,-2.5316
E02001101,-9.0629
E02001102,2.0911
E02001103,3.9197
E02001104,5.2553
E02001105,2.5213
E02001106,-2.742
E02001107,10.031
E02001108,-3.4599
E02001109,1.9702
E02001110,10.7647
E02001111,20.4862
E02001112,-7.3409
E02001113,7.5621
E02001114,17.1318
E02001115,2.4538
E02001116,23.7072
E02001117,9.9338
E02001118,-1.9106
E02001119,27.7186
E02001121,34.7967
E02001123,15.936
E02001124,6.8508
E02001125,8.6718
E02001126,21.3244
E02001127,3.4119
E02001128,2.8499
E02001129,4.6398
E02001130,-6.461
E02001131,-5.4787
E02001132,4.4068
E02001133,4.1401
E02001134,-0.4293
E02001135,8.1914
E02001136,3.7407
E02001137,-2.525
E02001138,-7.1567
E02001139,0.2034
E02001140,11.0007
E02001141,17.7201
E02001142,-0.0867
E02001143,18.2564
E02001144,7.2932
E02001145,-0.0843
E02001146,14.3812
E02001147,17.9245
E02001148,7.211
E02001149,4.6041
E02001150,5.0684
E02001151,6.8103
E02001152,3.1571
E02001153,13.6235
E02001154,-0.432
E02001155,7.9379
E02001156,-4.7558
E02001157,10.4399
E02001158,-0.5494
E02001159,30.4714
E02001160,12.372
E02001161,5.8676
E02001162,7.2004
E02001163,-2.5415
E02001164,32.8822
E02001165,2.5731
E02001166,14.0082
E02001167,25.5051
E02001168,4.7127
E02001169,-3.7081
E02001170,3.2508
E02001171,2.3706
E02001173,-8.0687
E02001174,-2.3597
E02001175,-0.3815
E02001176,14.0747
E02001177,20.1693
E02001179,13.7666
E02001180,7.9566
E02001181,13.739
E02001182,5.2825
E02001183,9.5471
E02001185,-1.3215
E02001186,17.0041
E02001187,-6.3005
E02001188,12.9605
E02001189,-5.9516
E02001190,9.6868
E02001191,-3.5918
E02001192,6.1023
E02001193,2.7764
E02001194,1.3514
E02001195,-5.2618
E02001196,1.5118
E02001197,2.0635
E02001198,0.0921
E02001199,0.8178
E02001200,14.6334
E02001201,-3.1917
E02001202,2.2887
E02001203,1.1224
E02001204,1.1746
E02001205,2.0439
E02001206,-0.5393
E02001207,-5.168
E02001208,3.5991
E02001209,10.8142
E02001210,2.1837
E02001211,8.8804
E02001212,14.4519
E02001213,5.0618
E02001214,5.2808
E02001215,-1.8224
E02001216,2.5983
E02001217,14.5087
E02001218,3.5751
E02001219,-4.0386
E02001220,0.4241
E02001221,-3.4432
E02001222,4.1428
E02001223,-2.8425
E02001224,-0.4294
E02001225,1.1216
E02001226,10.0016
E02001227,-2.2633
E02001228,-0.6042
E02001229,14.6075
E02001230,-1.7633
E02001231,14.4875
E02001232,8.5038
E02001233,4.6407
E02001234,0.9973
E02001235,8.0743
E02001236,5.6125
E02001237,14.1278
E02001238,3.8436
E02001239,0.108
E02001240,-6.2886
E02001241,30.5752
E02001242,10.7546
E02001243,0.0253
E02001244,-8.1027
E02001245,10.799
E02001246,3.7346
E02001247,-0.9097
E02001248,25.4231
E02001249,-0.3013
E02001250,3.9163
E02001251,-1.2094
E02001252,0.2035
E02001253,-7.7008
E02001254,-7.0181
E02001255,1.0948
E02001256,13.4859
E02001257,-2.6333
E02001258,0.3322
E02001259,28.9372
E02001260,-0.2072
E02001261,21.3903
E02001262,9.486
E02001263,2.5
E02001264,8.2852
E02001265,-0.2081
E02001266,10.2967
E02001267,11.0853
E02001268,-0.7567
E02001269,6.7424
E02001270,12.4766
E02001271,4.9648
E02001272,9.9107
E02001273,23.8279
E02001274,2.69
E02001275,10.7377
E02001276,4.9751
E02001277,32.6801
E02001278,16.5626
E02001279,5.8664
E02001280,13.0136
E02001281,4.553
E02001282,34.1902
E02001283,26.0904
E02001284,15.7059
E02001285,8.6383
E02001286,13.2078
E02001287,0
E02001288,0.4465
E02001289,-1.4614
E02001290,8.4716
E02001291,2.0419
E02001292,4.7321
E02001293,0.2643
E02001294,8.2301
E02001295,9.9016
E02001296,23.0438
E02001297,-3.277
E02001298,16.5482
E02001299,18.4479
E02001300,11.2882
E02001301,18.5947
E02001302,1.2922
E02001303,14.066
E02001304,16.3617
E02001305,6.4253
E02001306,-5.9838
E02001307,10.3342
E02001308,2.2641
E02001309,27.2131
E02001310,23.8876
E02001311,7.2183
E02001312,20.5048
E02001313,11.526
E02001314,4.4299
E02001315,2.7034
E02001316,8.3484
E02001317,9.1062
E02001318,-1.0072
E02001319,0.5345
E02001320,1.7105
E02001321,5.3909
E02001322,-2.7194
E02001323,11.5401
E02001324,12.1196
E02001325,-1.5169
E02001326,3.7017
E02001327,0.3462
E02001328,18.5379
E02001329,-1.2354
E02001330,-2.7485
E02001331,-4.4316
E02001332,1.8225
E02001333,9.549
E02001334,-21.177
E02001335,0.5674
E02001336,-2.9284
E02001337,-1.779
E02001338,-3.9758
E02001339,-11.4353
E02001340,-3.6126
E02001341,-1.8456
E02001342,-7.2862
E02001343,5.3982
E02001344,-5.8229
E02001345,-10.1988
E02001346,2.2366
E02001347,0.7281
E02001348,-7.7026
E02001349,7.9581
E02001350,2.2059
E02001351,-3.9784
E02001352,15.567
E02001353,-2.8319
E02001354,4.337
E02001355,-5.7955
E02001356,-1.0735
E02001357,-3.6901
E02001358,-7.8385
E02001359,-2.9345
E02001360,6.5266
E02001361,-2.0497
E02001362,-5.2468
E02001363,3.6437
E02001364,-29.1081
E02001365,-1.5708
E02001366,1.4206
E02001367,5.7508
E02001368,7.4155
E02001369,32.2785
E02001370,17.5766
E02001371,-6.3096
E02001372,-1.4194
E02001373,2.3754
E02001374,18.2798
E02001375,-3.3194
E02001376,18.6052
E02001377,64.4398
E02001378,9.1496
E02001380,4.0624
E02001381,4.4856
E02001382,-4.4518
E02001383,48.9925
E02001384,20.147
E02001385,55.4802
E02001386,-9.4306
E02001387,2.7427
E02001388,7.7393
E02001389,8.6096
E02001390,21.2647
E02001391,-10.2916
E02001392,-3.6245
E02001393,-1.3311
E02001394,6.3457
E02001395,3.4825
E02001396,12.8138
E02001397,2.606
E02001398,3.3447
E02001399,-4.2024
E02001400,0.5331
E02001401,7.9166
E02001402,23.1239
E02001403,9.5817
E02001404,15.7213
E02001405,5.0441
E02001406,-7.1497
E02001407,-10.0563
E02001408,-10.11
E02001409,-1.5277
E02001410,-1.3446
E02001411,-0.2357
E02001412,3.7762
E02001413,-11.5186
E02001414,-0.9656
E02001415,12.9455
E02001416,0.8694
E02001417,-0.1492
E02001418,8.1621
E02001419,0.2915
E02001420,11.098
E02001421,0.1981
E02001422,17.7072
E02001423,3.7802
E02001425,-8.7544
E02001426,-8.9327
E02001427,10.1264
E02001428,-5.8622
E02001429,-4.7067
E02001430,-5.37
E02001431,-0.3061
E02001432,18.7862
E02001433,0.2858
E02001434,2.1983
E02001435,12.0424
E02001436,2.6234
E02001437,5.2197
E02001438,-4.0708
E02001439,3.6564
E02001440,-8.0678
E02001441,-7.9887
E02001442,3.0471
E02001443,-7.3737
E02001444,-2.5997
E02001445,-10.412
E02001446,-13.0878
E02001447,-10.3049
E02001448,-8.7588
E02001449,-7.1643
E02001450,-4.6615
