MSOA21CD,PersonalDebt,HHInc_afterCosts,HHInc_afterCosts_equivalised,HHInc_beforeCosts,HHInc_beforeCosts_equivalised
E02005967,867.2236,64800,36000,41300,35300
E02005968,725.7236,68900,36800,44700,38400
E02005969,578.8167,56700,38800,41800,38400
E02005970,595.3484,55900,31200,37100,36000
E02005971,673.553,57300,31900,38600,34300
E02005972,639.9421,67000,40700,46200,39200
E02005973,502.0984,56800,36700,44600,41000
E02005974,642.6488,60900,40500,45200,42700
E02005975,602.0717,65700,41800,48200,42700
E02005976,714.6069,71800,41400,51000,46100
E02005977,541.9429,63000,40200,46000,42700
E02005978,508.5083,74500,39200,49100,40400
E02005979,447.3138,65800,36100,44900,38100
E02005980,622.5625,66500,38700,43800,37300
E02005981,450.4211,71900,37900,45400,42700
E02005982,453.7779,65600,36600,43100,39600
E02005983,434.5743,56400,33900,39900,37200
E02005984,635.993,66300,39000,46600,40300
E02005985,567.6572,55000,31900,38900,35400
E02005986,647.8325,51200,34700,37800,35100
E02005987,650.2774,62400,37100,44700,39200
E02005988,585.686,56100,35600,39800,36000
E02005991,661.4083,53200,37500,39000,36500
E02005992,698.979,62600,37600,44000,40100
E02005993,598.6996,47300,32300,36400,34200
E02005994,680.9496,58100,37400,43600,39100
E02005995,420.5895,52900,35200,41600,38900
E02005996,579.2186,61400,37100,43300,40300
E02005997,489.3919,54700,37400,41300,37600
E02005998,581.7491,60500,38700,43700,38500
E02005999,604.8614,55600,34600,40300,37800
E02006000,569.6727,55300,35500,39300,36300
E02006001,652.6086,59200,33800,40400,36400
E02006002,606.0291,50200,32600,36100,34900
E02006003,527.5334,53300,33700,39100,35600
E02006004,494.902,57400,35400,39900,39400
E02006005,991.3232,65700,32400,42200,36300
E02006006,951.674,53400,31800,37600,34400
E02006007,690.0224,53800,34900,40500,36500
E02006008,765.0368,46300,32800,36400,32800
E02006009,492.6258,48900,32700,36600,34400
E02006010,622.9292,42800,31700,35100,31800
E02006011,557.5061,41700,30000,33500,31800
E02006012,623.2492,39900,30200,32600,31600
E02006013,666.7238,45400,33400,37600,32900
E02006014,578.4228,39300,29300,33800,30300
E02006015,461.1244,39100,28200,31300,30100
E02006016,576.4639,44900,33500,37400,33300
E02006017,558.0286,43600,30500,35700,32200
E02006018,672.7302,39800,29000,32300,30400
E02006019,523.6045,38100,27500,30400,30300
E02006020,659.6105,48400,31400,38200,34500
E02006021,606.7348,47800,34300,39600,34800
E02006022,651.3859,49400,32600,40000,35100
E02006023,577.2389,41500,30200,33700,30200
E02006024,546.9834,39800,26600,31400,29100
E02006025,476.675,43100,29700,34600,32400
E02006026,571.2059,45500,33100,37700,33000
E02006027,616.1996,45500,31600,37100,32500
E02006028,581.4926,44400,31600,36100,32500
E02006029,621.6346,36000,25600,29200,27400
E02006030,623.8147,42000,26000,33400,30200
E02006031,463.6993,42100,28500,32700,32000
E02006032,560.4923,38400,26400,33200,29300
E02006033,477.4858,45200,31500,34800,33900
E02006034,597.7648,49200,32800,38300,35400
E02006035,494.5246,47200,32000,36700,33100
E02006036,429.859,43400,30200,33800,33800
E02006037,526.6866,48200,32800,39700,34100
E02006038,578.3727,45700,31600,35800,32500
E02006039,639.9719,43700,31500,35700,32100
E02006040,564.7816,47400,34100,38600,34500
E02006041,478.1031,41200,31500,34400,32300
E02006042,353.897,44500,33200,37600,33400
E02006043,495.8638,43300,30200,34800,31000
E02006044,371.4844,42400,32000,35200,32500
E02006045,427.6472,37600,28600,31000,30000
E02006046,538.2904,40600,32100,34500,31800
E02006047,487.4448,49900,33700,40600,36400
E02006048,588.207,45600,30500,36000,33400
E02006049,518.3654,49700,33100,36300,35000
E02006050,457.2752,41200,28700,33100,31000
E02006051,498.2136,49200,33700,38000,35100
E02006052,546.5926,49800,33200,37400,35000
E02006053,489.5928,44400,30300,34000,31400
E02006054,481.1066,41400,31500,32400,32800
E02006055,657.3674,44800,28100,34500,31400
E02006056,572.4768,45900,30900,36100,33200
E02006057,476.9454,38800,30000,31500,31500
E02006058,565.2218,46500,31800,35900,32400
E02006059,492.1507,51900,34100,40500,36400
E02006060,505.3875,39700,27400,30100,30300
E02006061,563.0634,49900,35100,37300,34500
E02006062,632.8406,44800,32400,35400,33600
E02006063,614.6125,53100,35700,40900,38200
E02006064,592.9797,38600,28100,29100,30400
E02006065,639.5356,37800,27100,30700,29000
E02006066,664.2308,43000,30500,34300,31500
E02006067,691.2132,46600,32200,36300,33600
E02006068,792.2409,36000,22900,27600,26600
E02006069,654.2609,39900,25500,28500,30300
E02006070,702.8302,43600,27000,31800,30500
E02006071,699.3816,50600,32500,37200,34200
E02006072,604.3552,47700,32700,36600,34700
E02006073,687.7444,37700,25500,30200,28800
E02006074,700.7291,49700,30600,37600,33100
E02006075,556.6173,48800,31900,37500,36000
E02006076,484.2423,47700,33200,36700,35100
E02006077,547.9731,41900,30200,33700,32000
E02006078,506.5948,46200,32700,36100,33900
E02006079,714.4712,45400,30300,35700,32900
E02006080,695.4517,52800,32500,36900,34300
E02006081,493.7927,46500,32300,37800,33900
E02006082,547.4253,44400,30600,34600,32500
E02006083,541.7603,44700,32300,34600,33200
E02006084,484.1723,46500,35000,37100,35200
E02006085,743.9618,46700,30400,34800,32600
E02006086,677.2423,50600,32100,37700,34200
E02006087,731.3991,42700,28500,31900,31500
E02006088,741.3901,39500,26000,30800,29500
E02006089,620.7575,43500,27700,31700,31800
E02006090,626.1439,45200,29400,33900,32100
E02006091,545.4301,46400,33800,35900,32200
E02006092,625.7908,51500,32400,36400,34600
E02006093,598.742,43200,32000,32800,32500
E02006094,658.9978,44300,32800,34300,34000
E02006095,587.3611,40900,29400,31100,30700
E02006096,536.467,44000,27900,32800,31500
E02006097,542.8099,39700,25700,30400,29400
E02006098,476.3214,46600,31200,35800,33100
E02006099,558.5629,49600,32700,37900,35300
E02006100,753.522,52000,31900,38400,34000
E02006101,557.8636,45800,32900,36300,33100
E02006102,599.6192,37900,25200,29500,28300
E02006103,530.5632,49700,36700,38300,35000
E02006104,697.0676,50800,33900,37500,35600
E02006105,534.6719,46300,30600,32300,33300
E02006106,696.7362,50600,32000,37400,34300
E02006107,635.6723,38300,24900,29500,28300
E02006108,504.4285,44300,31600,34000,35200
E02006109,555.5679,55700,37000,40500,38500
E02006110,616.0696,42200,27100,32400,30000
E02006111,647.0922,47200,34200,36200,33300
E02006112,510.7239,52500,34800,38900,37000
E02006113,347.2261,38400,28400,30700,30300
E02006114,357.2411,39300,30100,31700,30200
E02006115,447.3321,35900,28400,31400,29100
E02006116,519.2654,43800,31300,34900,33100
E02006117,406.9615,39800,31400,32000,32000
E02006118,693.5467,45300,31700,36600,33000
E02006119,753.6687,37100,25400,29300,29000
E02006120,893.0444,40200,26800,32600,29400
E02006121,831.9108,39300,28100,32600,30600
E02006122,838.4784,40900,28700,33200,31200
E02006123,770.0362,44400,30500,36100,32900
E02006124,663.8285,33400,23500,27900,26300
E02006125,700.2711,34800,25300,28700,27800
E02006126,857.3136,42100,30000,33900,32100
E02006127,874.0388,51600,33500,39600,36100
E02006128,636.6659,41600,28800,34300,32000
E02006129,707.802,35000,25100,28100,28600
E02006130,973.4347,39900,28400,32900,29800
E02006131,674.9385,45300,31100,36800,34300
E02006132,684.6144,41300,27700,32600,30900
E02006133,598.4224,43900,29900,34400,32900
E02006134,739.986,48400,35400,38700,34800
E02006135,622.2667,47300,30900,36000,33800
E02006136,583.5805,50300,36400,41300,37100
E02006137,683.4849,38900,25900,31100,29200
E02006138,632.8406,40600,24500,30800,28000
E02006139,601.4466,39000,24600,29700,27000
E02006140,620.1467,43400,27300,34400,30800
E02006141,678.9485,41100,23300,29700,27500
E02006142,699.1079,49600,32500,37900,35100
E02006143,584.3332,51000,32400,37900,32700
E02006144,741.0925,36400,24500,28200,28800
E02006145,783.0037,50200,35400,38700,35400
E02006146,695.3629,45000,31700,35900,32600
E02006147,845.9374,53100,35700,41100,35800
E02006148,664.3353,48000,37100,40600,36000
E02006149,599.6713,40100,29400,33800,31400
E02006150,552.2369,50500,36800,40200,35500
E02006151,793.6746,40300,29000,32700,30500
E02006152,653.625,49900,35100,39700,35700
E02006153,672.7922,52300,36100,41500,36300
E02006154,657.165,40000,30500,32300,30500
E02006155,772.1632,35200,23900,28500,27200
E02006156,664.3552,53700,37000,42800,37400
E02006157,727.1459,41200,30400,34100,31900
E02006158,595.9932,43100,30400,34400,32000
E02006159,627.1159,34900,24800,28900,28000
E02006160,544.0167,37200,26200,30000,28200
E02006161,563.1416,43900,28900,33800,30000
E02006162,692.5018,41000,29000,32800,31300
