OA21CD,SMEDebt
E00000896,1329.92
E00000897,3977.71
E00000898,1861.31
E00000899,3118.86
E00000900,3846.82
E00000901,1582.37
E00000902,1540.26
E00000903,2079.24
E00000904,3285.56
E00000905,1760.86
E00000906,3749.15
E00000907,1685.1
E00000908,4026.94
E00000909,1595.11
E00000910,1708.34
E00000911,1401.56
E00000912,1571.2
E00000913,2974.03
E00000914,3929.29
E00000915,1714.27
E00000916,1560.04
E00000917,3341.09
E00000918,1725.17
E00000919,1826.3
E00000920,1906.88
E00000921,3893.06
E00000922,3231
E00000923,3006.83
E00000924,3353.24
E00000925,3208.77
E00000926,7785.83
E00000927,3015.52
E00000928,2903.58
E00000929,3020.96
E00000930,3279.73
E00000931,3728.72
E00000932,3050.9
E00000934,3835.63
E00000935,2788.25
E00000936,1813.15
E00000937,3563.53
E00000938,3164.52
E00000939,3173.71
E00000940,2956.98
E00000941,3278.65
E00000943,2804.78
E00000944,2949.89
E00000945,3330.8
E00000947,14791.47
E00000948,9176.72
E00000949,2288.96
E00000950,2139.42
E00000951,8214.91
E00000952,6123.81
E00000953,18944.05
E00000954,17708.12
E00000955,2024.95
E00000956,17892.2
E00000958,16830.33
E00000959,4757.66
E00000960,2250.67
E00000961,3258.84
E00000962,2428.12
E00000963,3291.45
E00000964,4989.45
E00000965,2896.2
E00000966,7650.97
E00000967,8300.38
E00000968,7205.08
E00000969,8181.35
E00000970,7218.98
E00000971,5617.05
E00000972,16019.19
E00000973,7086.28
E00000974,8266.36
E00000975,7276.11
E00000976,7255.31
E00000977,8683.78
E00000978,7256.02
E00000979,8632.88
E00000980,7725.34
E00000981,9133.79
E00000982,9616.95
E00000983,9007.03
E00000984,6933.9
E00000985,9469.61
E00000986,9086.48
E00000987,17171.79
E00000988,17704
E00000990,15211.55
E00000991,10062.92
E00000992,6168.52
E00000993,13156.39
E00000994,7755.67
E00000995,7810.6
E00000996,7106.59
E00000997,6436.56
E00000998,5573.82
E00000999,16631.03
E00001000,11149.56
E00001001,5471.73
E00001002,7515.3
E00001003,6890.21
E00001004,7412.72
E00001005,6950.21
E00001006,7013.83
E00001007,7857.46
E00001008,7760.15
E00001009,7930.91
E00001010,7971.99
E00001011,8532.01
E00001012,2383.86
E00001013,9249.63
E00001014,9749.31
E00001015,2821.35
E00001016,10316.25
E00001017,3497.28
E00001018,3631.9
E00001019,3233.87
E00001020,3121.39
E00001021,2622.73
E00001022,2818.96
E00001023,2750.95
E00001024,2842.7
E00001025,3509.75
E00001026,31205.66
E00001027,4158.95
E00001028,2647.19
E00001029,2210.58
E00001030,3964.3
E00001031,4107.99
E00001032,2312.95
E00001033,2656.3
E00001034,2826.33
E00001035,2845.01
E00001036,2447.82
E00001037,3385.56
E00001038,4116.89
E00001039,15348.49
E00001040,6035.54
E00001041,5525.7
E00001042,2280.52
E00001043,2523.64
E00001044,5617.51
E00001045,8726.83
E00001046,3887.32
E00001047,2253.25
E00001048,14221.02
E00001049,4022.14
E00001050,8933.69
E00001051,6078.23
E00001052,3675.71
E00001053,9514.48
E00001054,11005.71
E00001055,9518.91
E00001056,10624.79
E00001057,3709.12
E00001058,9369.91
E00001059,11853.36
E00001060,12850.85
E00001061,2306.84
E00001062,11309.58
E00001063,65321.19
E00001064,48469.81
E00001065,12682.99
E00001066,8880.36
E00001067,42577.09
E00001068,13235.33
E00001069,10262.68
E00001071,11881.85
E00001072,10412.67
E00001073,11777.18
E00001074,11895.74
E00001075,9512.8
E00001076,4688.2
E00001077,10394.05
E00001078,2718.41
E00001079,2297.43
E00001081,2316.33
E00001082,2383.49
E00001083,2353.13
E00001084,2247.85
E00001085,2970.97
E00001086,2517.12
E00001087,2406.23
E00001089,2353.97
E00001090,2377.76
E00001091,2428.06
E00001092,71884.52
E00001093,59782.12
E00001094,36642.07
E00001095,58947.35
E00001096,43361.93
E00001097,45435.81
E00001098,59607.21
E00001099,56788.42
E00001100,11566.51
E00001101,47603.45
E00001102,11657.99
E00001103,69607.54
E00001104,11523.56
E00001105,58074.09
E00001106,9600.32
E00001107,2108.83
E00001108,4463.5
E00001109,1866.63
E00001110,1554.53
E00001111,1960.45
E00001112,1844.35
E00001113,1735.09
E00001114,4978.44
E00001115,1991.09
E00001116,1703.31
E00001117,4404.86
E00001118,11711.3
E00001119,3409.41
E00001120,3347.87
E00001121,3218.69
E00001122,12534.68
E00001123,15864.51
E00001124,3533.26
E00001125,3940.19
E00001126,3167.28
E00001127,13293.95
E00001128,1915.78
E00001129,2755.06
E00001130,13798.35
E00001131,10457.16
E00001132,2033.01
E00001133,2363.39
E00001134,1442.52
E00001135,12951.4
E00001136,1692.65
E00001137,1746.94
E00001138,1895.79
E00001139,13710.55
E00001140,2401.42
E00001141,4246.11
E00001142,1670.07
E00001143,12319.29
E00001144,11899.8
E00001145,1844.22
E00001146,1841.83
E00001147,1771.55
E00001148,1631.8
E00001149,12836.85
E00001150,10990.12
E00001151,11433.4
E00001152,15529.37
E00001153,11666.61
E00001154,1603.73
E00001155,6882.66
E00001156,5767.83
E00001157,9264.58
E00001158,8482.31
E00001159,7628.73
E00001160,7849.36
E00001161,8696.13
E00001162,7999.91
E00001163,9736.83
E00001164,3899.54
E00001165,5887.18
E00001166,8875.84
E00001167,10180.42
E00001168,11174.36
E00001169,11299.87
E00001170,10188.66
E00001171,8655.9
E00001172,10629.55
E00001173,9853.84
E00001174,5627.01
E00001175,10873.15
E00001176,10711.29
E00001177,6967.77
E00001178,8623.77
E00001179,9229.9
E00001180,10182.83
E00001181,6163.5
E00001182,6324.31
E00001183,6125.45
E00001184,7847.11
E00001185,9266.28
E00001186,6412.99
E00001187,9261.11
E00001188,5918.02
E00001189,8399.1
E00001191,9949.67
E00001192,5708.7
E00001193,6642.89
E00001194,9610.13
E00001195,6320.61
E00001196,7913.25
E00001197,9849.39
E00001198,6436.71
E00001199,4968.62
E00001200,10983.4
E00001201,10388.23
E00001202,7204.99
E00001203,8285.91
E00001204,9991.24
E00001205,8612.02
E00001207,6930.35
E00001208,1628.44
E00001209,10471.58
E00001210,6803.12
E00001212,7728.41
E00001213,9553.15
E00001214,7620.24
E00001215,7385.93
E00001216,7389.86
E00001217,9955.92
E00001218,11276.14
E00001219,11544.62
E00001220,8330.79
E00001221,10300.94
E00001222,10575.48
E00001223,7129.53
E00001224,11951.72
E00001226,9937.17
E00001227,7669.58
E00001228,11932.95
E00001229,7748.94
E00001230,10646.95
E00001231,6891.02
E00001232,7192.03
E00001233,9036
E00001234,9353.21
E00001235,7454.83
E00001236,6851.87
E00001237,7293.92
E00001238,6529.43
E00001239,7600.39
E00001240,7882.48
E00001241,7077.37
E00001242,7366.44
E00001243,5965.16
E00001244,6185.71
E00001245,6405.7
E00001246,4538.91
E00001247,5772.18
E00001248,5239.04
E00001249,3593.6
E00001250,7857.59
E00001251,3095.39
E00001252,5359.7
E00001253,1368.39
E00001254,1574.49
E00001255,10548.65
E00001256,6122.72
E00001257,6432.43
E00001258,6627.03
E00001259,11816.64
E00001261,4615.6
E00001262,6950.98
E00001265,4302.56
E00001266,4124.19
E00001267,4319.64
E00001268,4676.1
E00001269,7732.66
E00001270,11296.2
E00001271,4901.21
E00001272,7161.89
E00001273,5868.1
E00001274,6158.76
E00001275,5281.39
E00001276,5880.06
E00001277,4928.38
E00001278,6031.47
E00001279,6271.86
E00001280,6568.93
E00001281,5412.61
E00001282,5770.72
E00001283,6232.18
E00001284,6217.18
E00001285,6232.21
E00001286,6720.85
E00001288,6638.21
E00001289,5489.69
E00001290,5650.97
E00001291,4821.07
E00001292,5555.91
E00001293,6228.85
E00001294,5890.75
E00001295,4938.54
E00001296,4720.23
E00001297,4881.67
E00001298,4571.67
E00001299,4881.36
E00001300,5229.18
E00001301,6392.53
E00001302,2560.25
E00001303,2646.74
E00001304,2609.54
E00001305,4566.99
E00001306,4228.37
E00001307,4208.82
E00001308,4207.01
E00001309,4006.24
E00001310,3199.87
E00001311,5287.44
E00001312,4693.28
E00001313,4619.07
E00001314,4044.79
E00001315,4098.34
E00001316,3113.25
E00001317,3078.17
E00001318,3356.08
E00001319,2837.82
E00001320,2516.88
E00001321,2537.76
E00001322,2930.32
E00001323,2782.53
E00001324,2888.81
E00001325,3170.37
E00001326,2516.88
E00001327,2751.65
E00001328,3116.92
E00001329,3640.98
E00001330,2699.53
E00001331,2786.56
E00001333,2658.45
E00001334,2990.86
E00001335,3046.7
E00001336,2535.71
E00001337,2572.76
E00001338,2405.77
E00001339,2831.54
E00001340,2717.46
E00001341,3215.75
E00001342,2336.61
E00001343,3382.95
E00001344,3015.72
E00001345,2369.52
E00001346,2795.01
E00001347,2361.67
E00001348,4670.2
E00001349,2847.42
E00001350,7266.94
E00001351,6055.78
E00001352,1823.44
E00001353,3505.47
E00001354,13658
E00001355,2382.91
E00001356,3771.11
E00001357,6729.82
E00001358,5442.35
E00001359,6981.81
E00001360,2790.65
E00001361,3369.44
E00001362,2605.09
E00001363,2897.06
E00001364,2775.5
E00001365,2354.21
E00001366,6321.94
E00001367,10780.64
E00001368,11649.75
E00001369,11627.22
E00001370,9810.07
E00001371,4046.59
E00001372,12212.23
E00001374,10787.82
E00001375,10327.67
E00001376,4280.83
E00001377,2426.03
E00001378,3882.35
E00001379,2202.98
E00001380,12906.27
E00001381,12516.3
E00001382,13851.43
E00001383,2464.47
E00001384,2710.9
E00001385,6361.36
E00001386,13295.45
E00001387,2641.98
E00001388,2178.51
E00001389,4675.89
E00001390,2546.07
E00001391,8397.78
E00001392,5327.49
E00001393,2094.36
E00001394,2430.5
