LSOA21CD,ViolenceSex_1kPersons_15plus,Robbery_1kPersons_15plus,BikeTheft_1kPersons_15plus,Burglary_1kPersons_15plus,Shoplifting_1kPersons_15plus,TheftPerson_1kPersons_15plus,VehicleCrime_1kPersons_15plus,TheftOffences_1kPersons_15plus,CrimDamageArson_1kPersons_15plus,Drugs_1kPersons_15plus,PossessionWeapons_1kPersons_15plus,PublicOrder_1kPersons_15plus,TotExclASB_1kPersons_15plus,ASB_1kPersons_15plus
E01000016,25.1,1.78,0.25,4.06,0.51,0.25,13.69,18.77,7.86,5.58,0.25,2.54,69.74,10.4
E01000017,15.75,1.36,0,3.53,0.27,0.27,8.96,13.04,2.72,1.63,0,1.63,39.92,6.25
E01000018,31.55,1.05,0.26,5.26,0,0.26,8.41,14.2,7.89,1.31,0.79,2.89,65.73,8.41
E01000019,25.76,1.8,0.3,2.1,0,1.2,7.79,11.38,4.19,3,0,1.8,54.82,12.28
E01000020,25.26,1.55,0,6.65,0.22,0.22,7.31,14.4,4.43,3.99,0.44,3.32,61.38,10.19
E01000021,50,2.03,0.29,5.81,0.29,1.16,18.02,25.58,9.3,7.56,0.29,5.52,108.71,28.49
E01000022,40.29,0.98,0,5.57,0,1.64,9.83,17.04,8.19,2.62,0.33,5.57,83.54,13.43
E01000024,32.59,2.88,0,4.15,0,0.96,11.18,16.3,8.63,3.83,0.32,3.83,71.9,16.62
E01000025,39.71,1.99,0,4.72,0,1.49,14.15,20.35,8.44,3.48,0.74,6.45,87.12,19.36
E01000027,66.55,3.11,0.48,4.55,0.72,1.44,24.18,31.36,10.77,12.93,1.44,8.86,144.59,39.98
E01000028,31.85,1.59,0,3.45,0,0.53,9.02,13.01,5.57,7.96,1.06,5.57,72.46,31.06
E01000029,29.6,1.49,0,3.73,0,1.24,14.43,19.4,6.72,4.48,0.99,6.96,72.63,38.3
E01000030,32.44,2.48,0.62,4.13,2.27,1.03,17.77,25.83,10.12,4.34,0.62,6.82,89.05,23.97
E01000031,38.91,0.76,0,6.61,0.25,0.25,18.05,25.17,6.61,4.07,1.02,5.34,88.49,21.61
E01000032,45.68,10.58,1.8,9,11.93,3.38,14.18,40.28,5.18,3.6,0,13.73,127.14,24.53
E01000033,27.53,0.64,0.32,4.8,0.64,0.64,9.28,15.69,6.72,4.48,0.32,1.6,64.66,16.97
E01000034,43.01,1.13,0,2.83,0,1.41,7.92,12.17,4.81,4.24,1.7,10.47,83.76,20.66
E01000035,48.62,2.46,1.23,5.4,4.67,1.72,16.21,29.22,10.31,9.33,0.49,11.29,124.98,24.06
E01000036,56.8,7.72,0.62,3.4,10.19,1.54,18.52,34.26,12.66,8.33,2.78,12.35,142.61,43.83
E01000037,5.83,0.25,0.25,3.3,0,0,6.85,10.4,2.28,0.51,0,0.25,22.32,3.55
E01000038,20.36,1.67,0.84,7.53,11.99,1.39,10.32,32.07,3.07,4.46,0,3.63,68.88,10.04
E01000039,27.36,0.53,0.53,2.1,0.53,0.26,10.52,13.95,6.58,6.05,0,3.95,63.15,23.15
E01000040,34.76,2.03,0.51,4.06,0.25,2.03,13.45,20.3,8.37,6.6,0.51,7.36,92.88,18.02
E01000041,27.22,0.77,0,5.39,0,0.51,9.24,15.15,5.14,3.34,0.77,1.03,58.04,5.91
E01000042,61.41,4.83,1.07,6.44,0,4.83,15.82,28.16,10.46,6.7,0.8,9.65,130.06,34.06
E01000043,26.44,0.29,0,2.64,0,0.59,12.92,16.16,7.05,2.06,0.88,5.58,66.38,34.66
E01000044,37.8,1.65,0.24,5.91,0,2.13,7.56,15.83,4.96,6.14,0.24,5.2,77.5,43.48
E01000045,65.1,6.4,0.28,10.29,10.85,6.12,20.03,47.58,8.35,9.46,0.83,15.3,230.65,55.37
E01000046,32.75,2.44,0.49,5.87,0,1.71,8.8,16.86,5.62,4.4,0.49,6.11,71.6,11.24
E01000049,31.85,3.92,0,4.18,3.13,2.09,20.88,30.28,7.05,9.14,0.78,5.22,136.53,15.66
E01000050,36.94,1.83,1.05,7.86,0.52,2.1,11.27,22.79,7.34,8.38,0.52,5.5,93,37.73
E01000051,38.13,3.63,0,8.63,0,4.99,10.44,24.06,5.9,8.63,0,6.36,100.78,32.69
E01000052,32.09,2.1,0.42,4.19,0,1.26,11.53,17.41,6.29,5.03,0.42,4.4,75.5,9.65
E01000053,33.41,3.84,1.18,6.21,12.12,4.14,11.83,35.48,7.98,2.37,0.3,4.43,91.65,15.67
E01000054,35.95,1.82,0.26,4.43,0,0.52,8.34,13.55,9.12,3.65,1.04,5.21,78.41,26.83
